[2023-10-28 17:35:10,634] Sampling PDBs with Antifold ...
[2023-10-28 17:35:10,635] Will sample 20 sequences from 3 PDBs at temperature(s) [0.2] and regions: ['CDR1', 'CDR2', 'CDRH3']
[2023-10-28 17:35:11,676] Loading checkpoint from models/model.pt...
[2023-10-28 17:35:11,971] Loaded model to cpu.
[2023-10-28 17:35:11,971] Saving prediction CSVs to output/example_pdbs
[2023-10-28 17:35:11,972] Reading in (3) PDBs from DataFrame
[2023-10-28 17:35:12,026] Predicting batch 1/3: PDBs 1-1 out of 3 total
[2023-10-28 17:35:13,404] Predicting batch 2/3: PDBs 2-2 out of 3 total
[2023-10-28 17:35:14,834] Predicting batch 3/3: PDBs 3-3 out of 3 total
[2023-10-28 17:35:16,519] Saving 3 log-prob CSVs to output/example_pdbs
[2023-10-28 17:35:16,521] Writing 6y1l_imgt log_probs CSV to output/example_pdbs/6y1l_imgt.csv
[2023-10-28 17:35:16,534] Writing 8ee8_imgt log_probs CSV to output/example_pdbs/8ee8_imgt.csv
[2023-10-28 17:35:16,545] Writing C143_immunebuilder log_probs CSV to output/example_pdbs/C143_immunebuilder.csv
[2023-10-28 17:35:16,558] 6y1l_imgt: , score=0.2934, global_score=0.2934, regions=['CDR1', 'CDR2', 'CDRH3'], model_name=AntiFold, seed=42
[2023-10-28 17:35:16,566] 6y1l_imgt__1: T=0.20, sample=1, score=0.3930, global_score=0.1869, seq_recovery=0.8983, mutations=12
[2023-10-28 17:35:16,573] 6y1l_imgt__2: T=0.20, sample=2, score=0.3922, global_score=0.1868, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,580] 6y1l_imgt__3: T=0.20, sample=3, score=0.3897, global_score=0.1862, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,587] 6y1l_imgt__4: T=0.20, sample=4, score=0.3932, global_score=0.1870, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,594] 6y1l_imgt__5: T=0.20, sample=5, score=0.3968, global_score=0.1878, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,600] 6y1l_imgt__6: T=0.20, sample=6, score=0.3967, global_score=0.1877, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,607] 6y1l_imgt__7: T=0.20, sample=7, score=0.4009, global_score=0.1887, seq_recovery=0.8983, mutations=12
[2023-10-28 17:35:16,614] 6y1l_imgt__8: T=0.20, sample=8, score=0.3897, global_score=0.1862, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,621] 6y1l_imgt__9: T=0.20, sample=9, score=0.3970, global_score=0.1878, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,628] 6y1l_imgt__10: T=0.20, sample=10, score=0.3849, global_score=0.1852, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,635] 6y1l_imgt__11: T=0.20, sample=11, score=0.3849, global_score=0.1852, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,642] 6y1l_imgt__12: T=0.20, sample=12, score=0.3863, global_score=0.1855, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,649] 6y1l_imgt__13: T=0.20, sample=13, score=0.3936, global_score=0.1871, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,656] 6y1l_imgt__14: T=0.20, sample=14, score=0.3897, global_score=0.1862, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,662] 6y1l_imgt__15: T=0.20, sample=15, score=0.3988, global_score=0.1882, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,669] 6y1l_imgt__16: T=0.20, sample=16, score=0.4081, global_score=0.1902, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,676] 6y1l_imgt__17: T=0.20, sample=17, score=0.3897, global_score=0.1862, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,683] 6y1l_imgt__18: T=0.20, sample=18, score=0.4040, global_score=0.1893, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,689] 6y1l_imgt__19: T=0.20, sample=19, score=0.3939, global_score=0.1871, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,696] 6y1l_imgt__20: T=0.20, sample=20, score=0.3932, global_score=0.1870, seq_recovery=0.8898, mutations=13
[2023-10-28 17:35:16,699] Saving to output/example_pdbs/6y1l_imgt.fasta
[2023-10-28 17:35:16,707] 8ee8_imgt: , score=0.8316, global_score=0.8316, regions=['CDR1', 'CDR2', 'CDRH3'], model_name=AntiFold, seed=42
[2023-10-28 17:35:16,714] 8ee8_imgt__1: T=0.20, sample=1, score=0.7647, global_score=0.6608, seq_recovery=0.9167, mutations=10
[2023-10-28 17:35:16,721] 8ee8_imgt__2: T=0.20, sample=2, score=0.7527, global_score=0.6580, seq_recovery=0.9167, mutations=10
[2023-10-28 17:35:16,728] 8ee8_imgt__3: T=0.20, sample=3, score=0.7556, global_score=0.6587, seq_recovery=0.9250, mutations=9
[2023-10-28 17:35:16,735] 8ee8_imgt__4: T=0.20, sample=4, score=0.7556, global_score=0.6587, seq_recovery=0.9250, mutations=9
[2023-10-28 17:35:16,742] 8ee8_imgt__5: T=0.20, sample=5, score=0.7484, global_score=0.6570, seq_recovery=0.9167, mutations=10
[2023-10-28 17:35:16,749] 8ee8_imgt__6: T=0.20, sample=6, score=0.7610, global_score=0.6599, seq_recovery=0.9083, mutations=11
[2023-10-28 17:35:16,756] 8ee8_imgt__7: T=0.20, sample=7, score=0.7475, global_score=0.6568, seq_recovery=0.9250, mutations=9
[2023-10-28 17:35:16,763] 8ee8_imgt__8: T=0.20, sample=8, score=0.7738, global_score=0.6629, seq_recovery=0.9333, mutations=8
[2023-10-28 17:35:16,770] 8ee8_imgt__9: T=0.20, sample=9, score=0.7518, global_score=0.6578, seq_recovery=0.9250, mutations=9
[2023-10-28 17:35:16,776] 8ee8_imgt__10: T=0.20, sample=10, score=0.7475, global_score=0.6568, seq_recovery=0.9250, mutations=9
[2023-10-28 17:35:16,783] 8ee8_imgt__11: T=0.20, sample=11, score=0.7565, global_score=0.6589, seq_recovery=0.9167, mutations=10
[2023-10-28 17:35:16,790] 8ee8_imgt__12: T=0.20, sample=12, score=0.7687, global_score=0.6617, seq_recovery=0.9167, mutations=10
[2023-10-28 17:35:16,797] 8ee8_imgt__13: T=0.20, sample=13, score=0.7601, global_score=0.6597, seq_recovery=0.9167, mutations=10
[2023-10-28 17:35:16,803] 8ee8_imgt__14: T=0.20, sample=14, score=0.7565, global_score=0.6589, seq_recovery=0.9167, mutations=10
[2023-10-28 17:35:16,810] 8ee8_imgt__15: T=0.20, sample=15, score=0.7541, global_score=0.6583, seq_recovery=0.9167, mutations=10
[2023-10-28 17:35:16,817] 8ee8_imgt__16: T=0.20, sample=16, score=0.7615, global_score=0.6600, seq_recovery=0.9167, mutations=10
[2023-10-28 17:35:16,824] 8ee8_imgt__17: T=0.20, sample=17, score=0.7615, global_score=0.6601, seq_recovery=0.9250, mutations=9
[2023-10-28 17:35:16,831] 8ee8_imgt__18: T=0.20, sample=18, score=0.7550, global_score=0.6585, seq_recovery=0.9083, mutations=11
[2023-10-28 17:35:16,837] 8ee8_imgt__19: T=0.20, sample=19, score=0.7798, global_score=0.6643, seq_recovery=0.9083, mutations=11
[2023-10-28 17:35:16,844] 8ee8_imgt__20: T=0.20, sample=20, score=0.7607, global_score=0.6599, seq_recovery=0.9167, mutations=10
[2023-10-28 17:35:16,847] Saving to output/example_pdbs/8ee8_imgt.fasta
[2023-10-28 17:35:16,852] C143_immunebuilder: , score=0.6854, global_score=0.6854, regions=['CDR1', 'CDR2', 'CDRH3'], model_name=AntiFold, seed=42
[2023-10-28 17:35:16,859] C143_immunebuilder__1: T=0.20, sample=1, score=0.5920, global_score=0.3856, seq_recovery=0.8837, mutations=15
[2023-10-28 17:35:16,866] C143_immunebuilder__2: T=0.20, sample=2, score=0.5423, global_score=0.3731, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,872] C143_immunebuilder__3: T=0.20, sample=3, score=0.5568, global_score=0.3768, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,879] C143_immunebuilder__4: T=0.20, sample=4, score=0.5540, global_score=0.3761, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,886] C143_immunebuilder__5: T=0.20, sample=5, score=0.5403, global_score=0.3726, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,893] C143_immunebuilder__6: T=0.20, sample=6, score=0.5558, global_score=0.3765, seq_recovery=0.8605, mutations=18
[2023-10-28 17:35:16,900] C143_immunebuilder__7: T=0.20, sample=7, score=0.5567, global_score=0.3767, seq_recovery=0.8605, mutations=18
